,system_id,n_points,total_length,min_elevation,max_elevation,mean_elevation,mean_diff,rmse
0,3805020011,235,19130.594,1545.8583,1555.3219,1550.4131,-0.0434454046189785,0.0520935095846653
1,3805020001,392,9398.48,284.98984,295.41443,291.76917,-0.09140649437904358,0.13888755440711975
2,2205000003,505,9681.051,1529.9451,1532.049,1530.8557,-3.4410812854766846,3.4430437088012695
3,5205000273,479,12367.965,409.95142,419.345,414.63458,-0.09663508832454681,0.12977272272109985
4,5205000454,46,3383.9514,61.19342,64.46911,62.271904,-0.09307397156953812,0.17332731187343597
5,2205000071,102,1527.6423,1548.1566,1551.4381,1550.4061,0.01004327554255724,0.05611972510814667
6,3805010100,180,4259.369,70.70367,77.14574,73.008606,-0.21913951635360718,0.5185057520866394
7,3205020501,11,1479.6768,3.0480001e-05,3.0480001e-05,3.0480003e-05,8.741969108581543,9.725176811218262
8,4705000009,1530,38976.574,316.1282,320.54443,318.34903,-0.036651838570833206,0.06661000847816467
9,6005000020,140,14347.45,1456.3036,1458.9612,1457.2817,-1.6783682107925415,1.786387324333191
10,4305000031,47,995.65564,126.286896,128.375,126.45194,-0.0656561329960823,0.08705398440361023
11,5205000462,293,24470.67,70.5846,84.04268,75.86407,-0.07030757516622543,0.17056851089000702
12,6005000595,89,2094.8,310.24564,312.0002,310.85046,-0.07318115234375,0.12080893665552139
13,2205000035,529,11362.715,1156.048,1178.1495,1166.1971,-0.03386721760034561,0.2773444354534149
14,5105700001,907,24157.408,225.85939,229.88562,227.7123,-0.05947285518050194,0.1118951216340065
15,2305340003,57,4495.356,109.84989,111.116974,110.70529,-0.2943941056728363,0.5927709937095642
16,5205000122,38,3549.7634,6.032128,6.8145266,6.225591,-0.17330768704414368,0.26434460282325745
17,5005902919,25,3251.429,6.8762,15.6248,11.942807,-8.375258445739746,8.471521377563477
18,5205000262,152,9820.374,62.43662,63.742214,63.341236,0.018123125657439232,0.06689327955245972
19,4705000063,537,13200.937,322.283,328.4623,325.76334,-0.037708159536123276,0.050284333527088165
20,4705000001,474,12051.704,327.34818,329.85086,328.2026,-0.10533534735441208,0.15224234759807587
21,3405000079,620,15246.686,24.7604,27.4729,26.21009,-17.843374252319336,17.844898223876953
22,5505000324,1472,4317.2427,3.668207,4.573311,4.3920994,-3.9149210453033447,3.920687675476074
23,6005000023,96,5280.377,1359.1053,1368.7416,1360.091,0.0428738072514534,0.1110568419098854
24,5005000011,417,25106.975,4.2174873,5.7347813,5.054792,-0.07829403132200241,0.11081936210393906
25,3605000066,85,6144.2153,394.23935,399.5916,397.2988,-0.05742020905017853,0.06666329503059387
26,5005100009,107,1659.5967,11.8721,16.5138,13.433383,-10.00033187866211,10.027458190917969
27,3405000096,72,4011.3499,43.644924,52.91788,49.713013,-0.04938369244337082,0.16866435110569
28,4905000073,35,2682.5947,484.08942,492.6594,487.22678,-0.07735595852136612,0.14099813997745514
29,5105190002,3474,71000.69,148.79541,153.22751,150.15608,-6.015583515167236,6.212882995605469
30,4705000025,393,20345.857,335.91577,342.58847,340.45694,-0.2274882048368454,0.2905084788799286
31,3205010202,12,129.61163,70.68647,71.72645,71.21207,0.23782603442668915,0.35997864603996277
32,2205000062,1548,39937.453,1536.769,1560.6333,1550.2455,-0.11173782497644424,0.18913254141807556
